Título,Consola,Año,Género,Distribuidora,Ventas NA(M),Ventas EU(M),Ventas JP(M),Ventas otras regiones,Ventas globales,Nivel de ventas globales
Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,3DS,2012,Misc,Namco Bandai Games,0.0,0.0,0.63,0.0,0.63,Medio-Bajo
Harry Potter and the Half-Blood Prince,DS,2009,Action,Electronic Arts,0.21,0.35,0.0,0.07,0.63,Medio-Bajo
A Bug's Life,N64,1998,Platform,Activision,0.49,0.13,0.0,0.01,0.63,Medio-Bajo
Super Castlevania IV,SNES,1991,Platform,Konami Digital Entertainment,0.32,0.05,0.25,0.01,0.63,Medio-Bajo
DJ Hero 2,Wii,2010,Misc,Activision,0.49,0.09,0.0,0.04,0.63,Medio-Bajo
Angry Birds Trilogy,3DS,2012,Action,Activision,0.38,0.2,0.0,0.05,0.63,Medio-Bajo
Condemned 2: Bloodshot,X360,2008,Action,Sega,0.38,0.19,0.0,0.06,0.63,Medio-Bajo
Cabela's Big Game Hunter (2008),Wii,2007,Sports,Activision,0.58,0.0,0.0,0.05,0.63,Medio-Bajo
Mobile Suit Z Gundam: AEUG vs. Titans,PS2,2003,Fighting,Namco Bandai Games,0.0,0.0,0.63,0.0,0.63,Medio-Bajo
Just Dance 3,PS3,2011,Misc,Ubisoft,0.33,0.21,0.0,0.09,0.63,Medio-Bajo
Call of Duty: Black Ops,DS,2010,Shooter,Activision,0.54,0.05,0.0,0.04,0.63,Medio-Bajo
God of War III,PS4,2015,Action,Sony Computer Entertainment,0.23,0.29,0.01,0.1,0.63,Medio-Bajo
Ape Escape 2,PS2,2002,Platform,Sony Computer Entertainment,0.12,0.09,0.38,0.03,0.63,Medio-Bajo
Metroid Prime: Trilogy,Wii,2009,Shooter,Nintendo,0.43,0.05,0.0,0.14,0.63,Medio-Bajo
X-Man,2600,1982,Action,Universal Gamex,0.58,0.04,0.0,0.01,0.63,Medio-Bajo
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",X360,2009,Shooter,Activision,0.34,0.23,0.0,0.06,0.63,Medio-Bajo
The Sims 3: Generations,PC,2011,Simulation,Electronic Arts,0.4,0.23,0.0,0.0,0.63,Medio-Bajo
The Crew,XOne,2014,Racing,Ubisoft,0.24,0.34,0.0,0.05,0.63,Medio-Bajo
Battle of Giants: Dragons,DS,2009,Strategy,Ubisoft,0.31,0.25,0.0,0.06,0.63,Medio-Bajo
Dragon Quest Monsters Joker 3,3DS,2016,Role-Playing,Square Enix,0.0,0.0,0.63,0.0,0.63,Medio-Bajo
Sonic & All-Stars Racing Transformed,X360,2012,Racing,Sega,0.2,0.37,0.0,0.06,0.63,Medio-Bajo
Shin Megami Tensei: Persona 3 FES,PS2,2007,Role-Playing,Tecmo Koei,0.22,0.2,0.16,0.05,0.63,Medio-Bajo
FIFA Soccer 2002,PS2,2001,Sports,Electronic Arts,0.31,0.24,0.0,0.08,0.63,Medio-Bajo
Shin Megami Tensei: Persona 3 Portable,PSP,2009,Role-Playing,Ghostlight,0.18,0.06,0.34,0.04,0.63,Medio-Bajo
Final Fantasy VII International,PS,1997,Role-Playing,Square,0.0,0.0,0.59,0.04,0.63,Medio-Bajo
Tiger Woods PGA Tour 12: The Masters,X360,2011,Sports,Electronic Arts,0.4,0.17,0.0,0.05,0.63,Medio-Bajo
Okami,PS2,2006,Action,Capcom,0.11,0.03,0.15,0.34,0.63,Medio-Bajo
NHL 2001,PS,2000,Sports,Electronic Arts,0.35,0.24,0.0,0.04,0.63,Medio-Bajo
World of Zoo,Wii,2009,Simulation,THQ,0.41,0.16,0.0,0.05,0.63,Medio-Bajo
LEGO Jurassic World,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.35,0.22,0.0,0.06,0.63,Medio-Bajo
Wet,PS3,2009,Shooter,Bethesda Softworks,0.22,0.27,0.01,0.11,0.63,Medio-Bajo
MySims Racing,DS,2009,Racing,Electronic Arts,0.26,0.29,0.0,0.07,0.63,Medio-Bajo
Buzz Lightyear of Star Command,PS,2000,Platform,Activision,0.35,0.24,0.0,0.04,0.63,Medio-Bajo
Namco Museum,GC,2002,Misc,Namco Bandai Games,0.48,0.13,0.0,0.02,0.63,Medio-Bajo
Nobunaga no Yabou: Haouden,SNES,1993,Strategy,Tecmo Koei,0.3,0.0,0.32,0.0,0.62,Medio-Bajo
Virtua Cop,SAT,1995,Shooter,Sega,0.0,0.0,0.62,0.0,0.62,Medio-Bajo
Tony Hawk's American Wasteland,XB,2005,Sports,Activision,0.4,0.2,0.0,0.03,0.62,Medio-Bajo
WWF in Your House,PS,1996,Fighting,Acclaim Entertainment,0.35,0.24,0.0,0.04,0.62,Medio-Bajo
Prince of Persia: The Forgotten Sands,X360,2010,Action,Ubisoft,0.3,0.26,0.0,0.06,0.62,Medio-Bajo
Vanquish,PS3,2010,Shooter,Sega,0.21,0.22,0.11,0.09,0.62,Medio-Bajo
Wild ARMs 3,PS2,2002,Role-Playing,Ubisoft,0.16,0.13,0.29,0.04,0.62,Medio-Bajo
NBA ShootOut '97,PS,1997,Sports,Sony Computer Entertainment,0.35,0.24,0.0,0.04,0.62,Medio-Bajo
Sacred 2: Fallen Angel,PS3,2009,Role-Playing,Deep Silver,0.22,0.23,0.08,0.09,0.62,Medio-Bajo
Madden NFL 07,GC,2006,Sports,Electronic Arts,0.48,0.13,0.0,0.02,0.62,Medio-Bajo
Far Cry 4,PC,2014,Shooter,Ubisoft,0.15,0.42,0.0,0.05,0.62,Medio-Bajo
Battlezone,2600,1982,Shooter,Atari,0.58,0.03,0.0,0.01,0.62,Medio-Bajo
Tiger Woods PGA Tour 2004,XB,2003,Sports,Electronic Arts,0.47,0.13,0.0,0.02,0.62,Medio-Bajo
LEGO Pirates of the Caribbean: The Video Game,3DS,2011,Action,Disney Interactive Studios,0.29,0.28,0.0,0.06,0.62,Medio-Bajo
Pro Evolution Soccer 2015,PS3,2014,Sports,Konami Digital Entertainment,0.1,0.23,0.22,0.08,0.62,Medio-Bajo
Evolve,XOne,2015,Shooter,Take-Two Interactive,0.36,0.2,0.0,0.06,0.62,Medio-Bajo
Tak 2: The Staff of Dreams,PS2,2004,Platform,THQ,0.3,0.24,0.0,0.08,0.62,Medio-Bajo
Dead Island: Riptide,PS3,2013,Action,Deep Silver,0.26,0.2,0.07,0.09,0.62,Medio-Bajo
Warriors Orochi 3,PS3,2011,Action,Ubisoft Annecy,0.0,0.04,0.57,0.01,0.62,Medio-Bajo
Bolt,DS,2008,Adventure,Disney Interactive Studios,0.35,0.21,0.0,0.06,0.62,Medio-Bajo
Viewtiful Joe,GC,2003,Action,Capcom,0.38,0.1,0.12,0.02,0.62,Medio-Bajo
The Urbz: Sims in the City,GBA,2004,Simulation,Electronic Arts,0.37,0.22,0.0,0.03,0.62,Medio-Bajo
Beetle Adventure Racing!,N64,1999,Racing,Electronic Arts,0.4,0.2,0.0,0.02,0.62,Medio-Bajo
FIFA Soccer,PSV,2012,Sports,Electronic Arts,0.17,0.34,0.02,0.09,0.62,Medio-Bajo
Disney's 102 Dalmatians: Puppies to the Rescue,PS,2000,Platform,Eidos Interactive,0.34,0.23,0.0,0.04,0.62,Medio-Bajo
Wipeout: The Game,DS,2010,Misc,Activision,0.58,0.0,0.0,0.04,0.62,Medio-Bajo
Strike Force Bowling,PS2,2004,Sports,Play It,0.3,0.24,0.0,0.08,0.62,Medio-Bajo
SpongeBob's Atlantis SquarePantis,Wii,2007,Action,THQ,0.57,0.01,0.0,0.04,0.62,Medio-Bajo
Metal Gear Solid V: Ground Zeroes,PS3,2014,Action,Konami Digital Entertainment,0.14,0.14,0.27,0.06,0.62,Medio-Bajo
Halloween,2600,1982,Action,Wizard Video Games,0.58,0.03,0.0,0.01,0.62,Medio-Bajo
Dragon Ball Z: Ultimate Tenkaichi,PS3,2011,Fighting,Namco Bandai Games,0.27,0.18,0.09,0.08,0.62,Medio-Bajo
WWE SmackDown vs. Raw 2010,PSP,2009,Fighting,THQ,0.25,0.23,0.0,0.14,0.62,Medio-Bajo
Bass Landing,PS,1999,Sports,ASCII Entertainment,0.21,0.14,0.23,0.04,0.62,Medio-Bajo
XGRA: Extreme G-Racing Association,PS2,2004,Racing,Eidos Interactive,0.3,0.24,0.0,0.08,0.62,Medio-Bajo
Mario's Picross,GB,1995,Puzzle,Nintendo,0.0,0.0,0.62,0.0,0.62,Medio-Bajo
Pac-Man Player's Choice Bundle,GC,2003,Misc,Namco Bandai Games,0.48,0.12,0.0,0.02,0.62,Medio-Bajo
Rocksmith 2014,PS4,2014,Misc,Ubisoft,0.34,0.17,0.0,0.11,0.62,Medio-Bajo
Fighters MEGAMiX,SAT,1996,Fighting,Sega,0.0,0.0,0.62,0.0,0.62,Medio-Bajo
Bahamut Lagoon,SNES,1996,Role-Playing,SquareSoft,0.0,0.0,0.62,0.0,0.62,Medio-Bajo
Wall-E,X360,2008,Platform,THQ,0.29,0.26,0.0,0.07,0.62,Medio-Bajo
Tomb Raider III: Adventures of Lara Croft,PC,1998,Action,Eidos Interactive,0.59,0.03,0.0,0.0,0.62,Medio-Bajo
Toshochu: Run for Money,3DS,2012,Adventure,Namco Bandai Games,0.0,0.0,0.62,0.0,0.62,Medio-Bajo
Dragon Quest Monsters: Joker 2 Professional,DS,2011,Role-Playing,Square Enix,0.0,0.0,0.62,0.0,0.62,Medio-Bajo
NFL Quarterback Club 99,N64,1998,Sports,Acclaim Entertainment,0.59,0.02,0.0,0.0,0.62,Medio-Bajo
Super Robot Taisen α Gaiden,PS,2001,Strategy,Banpresto,0.0,0.0,0.58,0.04,0.62,Medio-Bajo
Formula 1: Championship Edition,PS3,2006,Racing,Sony Computer Entertainment,0.0,0.57,0.04,0.0,0.61,Medio-Bajo
Muramasa: The Demon Blade,Wii,2009,Role-Playing,Rising Star Games,0.33,0.13,0.11,0.04,0.61,Medio-Bajo
NBA 2K9,PS3,2008,Sports,Take-Two Interactive,0.56,0.0,0.0,0.05,0.61,Medio-Bajo
SingStar Singalong With Disney,PS2,2008,Misc,Sony Computer Entertainment,0.0,0.04,0.0,0.57,0.61,Medio-Bajo
NHL 16,PS4,2015,Sports,Electronic Arts,0.35,0.15,0.0,0.11,0.61,Medio-Bajo
Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,Electronic Arts,0.21,0.29,0.01,0.11,0.61,Medio-Bajo
NFL Fever 2003,XB,2002,Sports,Microsoft Game Studios,0.46,0.13,0.0,0.02,0.61,Medio-Bajo
Samurai Warriors 2,PS2,2006,Action,Tecmo Koei,0.02,0.02,0.57,0.01,0.61,Medio-Bajo
Dynasty Warriors 8,PS3,2013,Action,Tecmo Koei,0.12,0.11,0.34,0.05,0.61,Medio-Bajo
Disney Sing It: Family Hits,Wii,2010,Misc,Disney Interactive Studios,0.39,0.18,0.0,0.05,0.61,Medio-Bajo
2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,2005,Misc,THQ,0.44,0.16,0.0,0.01,0.61,Medio-Bajo
Robotech: Battlecry,PS2,2002,Shooter,TDK Mediactive,0.3,0.23,0.0,0.08,0.61,Medio-Bajo
Dora the Explorer: Super Spies,GBA,2004,Platform,Gotham Games,0.44,0.16,0.0,0.01,0.61,Medio-Bajo
New Carnival Games,Wii,2010,Misc,Take-Two Interactive,0.35,0.21,0.0,0.05,0.61,Medio-Bajo
Tony Hawk: RIDE,X360,2009,Sports,Activision,0.46,0.1,0.0,0.05,0.61,Medio-Bajo
Just Dance 2014,WiiU,2013,Misc,Ubisoft,0.33,0.23,0.0,0.05,0.61,Medio-Bajo
Cooking Mama 4: Kitchen Magic!,3DS,2011,Simulation,505 Games,0.5,0.07,0.0,0.04,0.61,Medio-Bajo
Texas Hold 'Em Poker,GBA,2004,Misc,Majesco Entertainment,0.44,0.16,0.0,0.01,0.61,Medio-Bajo
Time Crisis 3,PS2,2003,Shooter,Namco Bandai Games,0.3,0.23,0.0,0.08,0.61,Medio-Bajo
Cabela's Monster Buck Hunter,Wii,2010,Sports,Activision,0.58,0.0,0.0,0.03,0.61,Medio-Bajo
Ganbaru Watashi no Kakei Diary,DS,2007,Misc,Nintendo,0.0,0.0,0.61,0.0,0.61,Medio-Bajo
pro evolution soccer 2011,X360,2010,Sports,Konami Digital Entertainment,0.09,0.44,0.0,0.07,0.61,Medio-Bajo
New Play Control! Donkey Kong Jungle Beat,Wii,2008,Platform,Nintendo,0.24,0.17,0.14,0.05,0.61,Medio-Bajo
Small Soldiers,PS,1998,Platform,Electronic Arts,0.34,0.23,0.0,0.04,0.61,Medio-Bajo
Yakuza: Dead Souls,PS3,2011,Shooter,Sega,0.09,0.07,0.42,0.03,0.61,Medio-Bajo
Littlest Pet Shop: Garden,DS,2008,Simulation,Electronic Arts,0.31,0.24,0.0,0.06,0.61,Medio-Bajo
Half-Life 2,XB,2005,Shooter,Electronic Arts,0.37,0.21,0.0,0.03,0.61,Medio-Bajo
Duke Nukem: Total Meltdown,PS,1997,Shooter,GT Interactive,0.34,0.23,0.0,0.04,0.61,Medio-Bajo
Pac-Man Party,Wii,2010,Misc,Namco Bandai Games,0.47,0.09,0.01,0.04,0.61,Medio-Bajo
Jak and Daxter: The Lost Frontier,PSP,2009,Platform,Sony Computer Entertainment,0.18,0.27,0.0,0.15,0.61,Medio-Bajo
Major League Baseball 2K8,X360,2008,Sports,Bethesda Softworks,0.56,0.0,0.0,0.05,0.61,Medio-Bajo
SimCity DS,DS,2007,Simulation,Electronic Arts,0.33,0.03,0.21,0.03,0.61,Medio-Bajo
Major League Baseball 2K9,X360,2009,Sports,Spike,0.56,0.0,0.0,0.05,0.61,Medio-Bajo
Petz: Dogz Pack,DS,2008,Simulation,Ubisoft,0.56,0.0,0.0,0.05,0.61,Medio-Bajo
Split/Second,X360,2010,Racing,Disney Interactive Studios,0.32,0.23,0.0,0.06,0.61,Medio-Bajo
Final Fantasy IV Advance,GBA,2005,Role-Playing,Nintendo,0.27,0.1,0.22,0.01,0.61,Medio-Bajo
Madden NFL 2003,GBA,2002,Sports,Electronic Arts,0.44,0.16,0.0,0.01,0.61,Medio-Bajo
Tomb Raider Chronicles,PS,1999,Action,Eidos Interactive,0.34,0.23,0.0,0.04,0.61,Medio-Bajo
Harry Potter and the Goblet of Fire,GBA,2005,Action,Electronic Arts,0.44,0.16,0.0,0.01,0.61,Medio-Bajo
Dragon Ball Z: Buu's Fury,GBA,2004,Action,Atari,0.44,0.16,0.0,0.01,0.61,Medio-Bajo
Madden NFL 2002,GC,2001,Sports,Electronic Arts,0.47,0.12,0.0,0.02,0.61,Medio-Bajo
Guitar Hero: Smash Hits,Wii,2009,Misc,Activision,0.33,0.21,0.0,0.06,0.61,Medio-Bajo
Disney TH!NK Fast: The Ultimate Trivia Showdown,Wii,2008,Misc,Disney Interactive Studios,0.37,0.16,0.01,0.06,0.61,Medio-Bajo
Spider-Man: Mysterio's Menace,GBA,2001,Action,Activision,0.43,0.16,0.0,0.01,0.61,Medio-Bajo
Madden NFL 2000,N64,1999,Sports,Electronic Arts,0.58,0.02,0.0,0.0,0.61,Medio-Bajo
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",X360,2007,Action,Activision,0.51,0.05,0.0,0.05,0.61,Medio-Bajo
Game & Watch Gallery 4,GBA,2002,Misc,Nintendo,0.43,0.16,0.0,0.01,0.61,Medio-Bajo
Littlest Pet Shop: Jungle,DS,2008,Simulation,Electronic Arts,0.34,0.2,0.0,0.06,0.61,Medio-Bajo
Naruto: Ultimate Ninja,PS2,2003,Fighting,Atari,0.5,0.02,0.0,0.08,0.61,Medio-Bajo
Fighters Uncaged,X360,2010,Fighting,Ubisoft,0.31,0.24,0.0,0.06,0.61,Medio-Bajo
Call of Juarez: Bound in Blood,X360,2009,Shooter,Ubisoft,0.3,0.24,0.0,0.06,0.61,Medio-Bajo
New Play Control! Pikmin 2,Wii,2009,Strategy,Nintendo,0.11,0.14,0.33,0.02,0.6,Medio-Bajo
Tony Hawk's Underground,GBA,2003,Sports,Activision,0.43,0.16,0.0,0.01,0.6,Medio-Bajo
Hot Shots Golf: World Invitational,PSV,2011,Sports,Sony Computer Entertainment,0.19,0.11,0.25,0.06,0.6,Medio-Bajo
Monster Trucks,GBA,2004,Racing,Majesco Entertainment,0.43,0.16,0.0,0.01,0.6,Medio-Bajo
Shadow The Hedgehog,PS2,2005,Platform,Sega,0.5,0.02,0.0,0.08,0.6,Medio-Bajo
Wave Race: Blue Storm,GC,2001,Racing,Nintendo,0.4,0.1,0.09,0.02,0.6,Medio-Bajo
Backyard Wrestling: Don't Try This at Home,PS2,2003,Fighting,Eidos Interactive,0.3,0.23,0.0,0.08,0.6,Medio-Bajo
Fight Night Round 2,XB,2005,Fighting,Electronic Arts,0.42,0.16,0.0,0.02,0.6,Medio-Bajo
MonHun Nikki: Poka Poka Ailu Mura,PSP,2010,Role-Playing,Capcom,0.0,0.0,0.6,0.0,0.6,Medio-Bajo
The Golden Compass,DS,2007,Action,Sega,0.28,0.25,0.0,0.06,0.6,Medio-Bajo
NBA 2K8,PS2,2007,Sports,Take-Two Interactive,0.5,0.02,0.0,0.08,0.6,Medio-Bajo
Phineas and Ferb: Across the 2nd Dimension,Wii,2011,Action,Disney Interactive Studios,0.36,0.19,0.0,0.05,0.6,Medio-Bajo
Disney Infinity,WiiU,2013,Action,Disney Interactive Studios,0.33,0.22,0.0,0.05,0.6,Medio-Bajo
WarioWare D.I.Y.,DS,2009,Misc,Nintendo,0.18,0.19,0.2,0.04,0.6,Medio-Bajo
Tony Hawk: RIDE,PS3,2009,Sports,Activision,0.38,0.15,0.0,0.08,0.6,Medio-Bajo
LEGO Jurassic World,3DS,2015,Action,Warner Bros. Interactive Entertainment,0.31,0.22,0.03,0.05,0.6,Medio-Bajo
Alice: Madness Returns,PS3,2011,Adventure,Electronic Arts,0.22,0.25,0.04,0.09,0.6,Medio-Bajo
LEGO The Hobbit,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.37,0.0,0.1,0.6,Medio-Bajo
Suikoden,PS,1995,Role-Playing,Konami Digital Entertainment,0.21,0.14,0.21,0.04,0.6,Medio-Bajo
Secret Agent Clank,PS2,2009,Platform,Sony Computer Entertainment,0.13,0.18,0.0,0.29,0.6,Medio-Bajo
Rayman Arena,PS2,2001,Racing,Ubisoft,0.29,0.23,0.0,0.08,0.6,Medio-Bajo
Avatar: The Game,PSP,2009,Action,Ubisoft,0.22,0.24,0.0,0.14,0.6,Medio-Bajo
Jaws Unleashed,PS2,2006,Action,THQ,0.5,0.02,0.0,0.08,0.6,Medio-Bajo
Puyo Puyo Sun,SAT,1997,Puzzle,Compile,0.0,0.0,0.6,0.0,0.6,Medio-Bajo
Half-Life,PS2,2001,Shooter,Vivendi Games,0.29,0.23,0.0,0.08,0.6,Medio-Bajo
Tomb Raider (2013),XOne,2014,Action,Square Enix,0.34,0.21,0.0,0.05,0.6,Medio-Bajo
Mickey's Speedway USA,N64,2000,Racing,Nintendo,0.37,0.08,0.14,0.01,0.6,Medio-Bajo
International Superstar Soccer 64,N64,1997,Sports,Konami Digital Entertainment,0.09,0.26,0.23,0.02,0.6,Medio-Bajo
Skylanders SWAP Force,WiiU,2013,Platform,Activision,0.4,0.15,0.0,0.06,0.6,Medio-Bajo
NASCAR Heat 2002,PS2,2001,Racing,Infogrames,0.29,0.23,0.0,0.08,0.6,Medio-Bajo
Disney Sing It! High School Musical 3: Senior Year,Wii,2008,Misc,Disney Interactive Studios,0.32,0.23,0.0,0.04,0.6,Medio-Bajo
From TV Animation One Piece: Grand Battle 2,PS,2002,Fighting,Namco Bandai Games,0.0,0.0,0.56,0.04,0.6,Medio-Bajo
BeatMania Append 3rdMix,PS,1998,Simulation,Konami Digital Entertainment,0.0,0.0,0.56,0.04,0.6,Medio-Bajo
PGR3 - Project Gotham Racing 3,X360,2005,Racing,Microsoft Game Studios,0.49,0.03,0.03,0.05,0.6,Medio-Bajo
XCOM: Enemy Unknown,PS3,2012,Strategy,Take-Two Interactive,0.24,0.25,0.0,0.11,0.6,Medio-Bajo
Blur,X360,2010,Racing,Activision,0.25,0.28,0.0,0.06,0.6,Medio-Bajo
Xena: Warrior Princess,PS,1998,Adventure,Electronic Arts,0.33,0.23,0.0,0.04,0.6,Medio-Bajo
Scribblenauts: Unlimited,3DS,2012,Action,Warner Bros. Interactive Entertainment,0.55,0.01,0.0,0.04,0.6,Medio-Bajo
Front Mission,SNES,1995,Strategy,SquareSoft,0.0,0.0,0.6,0.0,0.6,Medio-Bajo
NHL 11,PS3,2010,Sports,Electronic Arts,0.4,0.13,0.0,0.07,0.6,Medio-Bajo
Kinect Rush: A Disney Pixar Adventure,X360,2012,Adventure,Microsoft Game Studios,0.38,0.16,0.0,0.05,0.6,Medio-Bajo
Monopoly,X360,2008,Misc,Electronic Arts,0.34,0.2,0.0,0.06,0.6,Medio-Bajo
Disney Infinity 2.0: Marvel Super Heroes,PS4,2014,Action,Disney Interactive Studios,0.26,0.24,0.0,0.1,0.6,Medio-Bajo
Major League Baseball 2K7,PS2,2007,Sports,Spike,0.29,0.23,0.0,0.08,0.6,Medio-Bajo
Asphalt: Urban GT,DS,2004,Racing,Ubisoft,0.31,0.22,0.0,0.06,0.6,Medio-Bajo
The Fight: Lights Out,PS3,2010,Fighting,Sony Computer Entertainment,0.29,0.22,0.0,0.09,0.6,Medio-Bajo
Dai-2-Ji Super Robot Taisen α,PS2,2003,Strategy,Banpresto,0.0,0.0,0.6,0.0,0.6,Medio-Bajo
Pokemon Trozei!,DS,2005,Puzzle,Nintendo,0.26,0.0,0.31,0.02,0.6,Medio-Bajo
Dead Space,PC,2008,Action,Electronic Arts,0.0,0.53,0.0,0.06,0.59,Medio-Bajo
Hot Wheels: Stunt Track Challenge,PS2,2004,Racing,THQ,0.29,0.23,0.0,0.08,0.59,Medio-Bajo
Rayman Origins,PSV,2012,Platform,Ubisoft,0.13,0.35,0.0,0.11,0.59,Medio-Bajo
London 2012: The Official Video Game of the Olympic Games,X360,2012,Sports,Sega,0.07,0.46,0.0,0.07,0.59,Medio-Bajo
Beijing 2008,X360,2008,Sports,Sega,0.15,0.38,0.0,0.07,0.59,Medio-Bajo
Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e,PS2,2005,Strategy,Banpresto,0.0,0.0,0.59,0.0,0.59,Medio-Bajo
Jeopardy!,Wii,2010,Misc,THQ,0.56,0.0,0.0,0.03,0.59,Medio-Bajo
Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PS,1997,Sports,Konami Digital Entertainment,0.0,0.0,0.56,0.04,0.59,Medio-Bajo
Assassin's Creed: Brotherhood,PC,2011,Action,Ubisoft,0.15,0.34,0.0,0.1,0.59,Medio-Bajo
CyberTiger,PS,1998,Sports,Electronic Arts,0.33,0.22,0.0,0.04,0.59,Medio-Bajo
Jampack Fall 2001,PS,2001,Misc,Sony Computer Entertainment,0.33,0.22,0.0,0.04,0.59,Medio-Bajo
Medal of Honor: Frontline,GC,2002,Shooter,Electronic Arts,0.46,0.12,0.0,0.02,0.59,Medio-Bajo
Final Fantasy: The 4 Heroes of Light,DS,2009,Role-Playing,Square Enix,0.23,0.11,0.23,0.03,0.59,Medio-Bajo
Iron Man,Wii,2008,Action,Sega,0.31,0.22,0.0,0.06,0.59,Medio-Bajo
Kane & Lynch 2: Dog Days,PS3,2010,Shooter,Square Enix,0.17,0.28,0.05,0.1,0.59,Medio-Bajo
NFL Blitz 2001,PS,2000,Sports,Midway Games,0.33,0.22,0.0,0.04,0.59,Medio-Bajo
Total War: Shogun 2,PC,2011,Strategy,Sega,0.19,0.31,0.0,0.09,0.59,Medio-Bajo
Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,1998,Sports,Konami Digital Entertainment,0.0,0.0,0.55,0.04,0.59,Medio-Bajo
Rock Band 2,PS2,2008,Misc,MTV Games,0.29,0.23,0.0,0.08,0.59,Medio-Bajo
Yakuza 5,PS3,2012,Action,Sega,0.0,0.0,0.59,0.0,0.59,Medio-Bajo
LEGO Indiana Jones 2: The Adventure Continues,PSP,2009,Action,Activision,0.21,0.24,0.0,0.14,0.59,Medio-Bajo
BurgerTime,2600,1981,Puzzle,Mattel Interactive,0.55,0.03,0.0,0.01,0.59,Medio-Bajo
Naruto: The Broken Bond,X360,2008,Action,Ubisoft,0.24,0.28,0.0,0.07,0.59,Medio-Bajo
2002 FIFA World Cup,PS2,2002,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59,Medio-Bajo
MVP Baseball 2004,XB,2004,Sports,Electronic Arts,0.44,0.13,0.0,0.02,0.59,Medio-Bajo
Crash Bandicoot: The Wrath of Cortex,GC,2002,Platform,Universal Interactive,0.46,0.12,0.0,0.02,0.59,Medio-Bajo
Smurf: Rescue In Gargamel's Castle,2600,1981,Action,Coleco,0.55,0.03,0.0,0.01,0.59,Medio-Bajo
Spelling Challenges and more!,DS,2007,Misc,505 Games,0.54,0.0,0.0,0.04,0.59,Medio-Bajo
Go Diego Go! Great Dinosaur Rescue,Wii,2008,Action,Take-Two Interactive,0.53,0.02,0.0,0.04,0.59,Medio-Bajo
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Wii,2007,Action,Activision,0.52,0.03,0.0,0.04,0.59,Medio-Bajo
Extreme-G,N64,1997,Racing,Acclaim Entertainment,0.47,0.11,0.0,0.01,0.59,Medio-Bajo
Ready 2 Rumble Boxing,N64,1999,Sports,Midway Games,0.47,0.11,0.0,0.01,0.59,Medio-Bajo
Payday 2,X360,2013,Shooter,505 Games,0.33,0.21,0.0,0.05,0.59,Medio-Bajo
Dead or Alive Xtreme Beach Volleyball,XB,2003,Sports,Microsoft Game Studios,0.36,0.08,0.14,0.02,0.59,Medio-Bajo
Tales of Rebirth,PS2,2004,Role-Playing,Namco Bandai Games,0.0,0.0,0.59,0.0,0.59,Medio-Bajo
SoulCalibur V,X360,2012,Fighting,Namco Bandai Games,0.39,0.14,0.02,0.04,0.59,Medio-Bajo
NHL 12,PS3,2011,Sports,Electronic Arts,0.36,0.16,0.0,0.07,0.59,Medio-Bajo
Tales of Zestiria,PS3,2015,Role-Playing,Namco Bandai Games,0.05,0.09,0.42,0.03,0.59,Medio-Bajo
Silent Hill: Shattered Memories,PS2,2010,Action,Konami Digital Entertainment,0.13,0.22,0.01,0.23,0.59,Medio-Bajo
Skate it,Wii,2008,Sports,Electronic Arts,0.51,0.04,0.0,0.05,0.59,Medio-Bajo
Game Party in Motion,X360,2010,Misc,Warner Bros. Interactive Entertainment,0.36,0.18,0.0,0.05,0.59,Medio-Bajo
Barbie: Race & Ride,PS,1999,Action,Sony Computer Entertainment,0.33,0.22,0.0,0.04,0.59,Medio-Bajo
Lost: Via Domus,X360,2008,Action,Ubisoft,0.18,0.34,0.0,0.07,0.59,Medio-Bajo
Mega Man Anniversary Collection,PS2,2004,Platform,Capcom,0.29,0.22,0.0,0.08,0.59,Medio-Bajo
Final Fantasy Anniversary Edition,PSP,2007,Role-Playing,Square Enix,0.39,0.02,0.13,0.04,0.59,Medio-Bajo
Dark Souls II,PS4,2015,Role-Playing,Namco Bandai Games,0.2,0.22,0.08,0.08,0.59,Medio-Bajo
Ben 10: Alien Force,PSP,2008,Action,Koch Media,0.35,0.14,0.0,0.1,0.59,Medio-Bajo
Deus Ex: Human Revolution,PC,2011,Shooter,Square Enix,0.25,0.25,0.0,0.09,0.59,Medio-Bajo
Zumba Fitness,PS3,2010,Sports,505 Games,0.28,0.21,0.0,0.09,0.59,Medio-Bajo
Harvest Moon: Friends of Mineral Town,GBA,2003,Simulation,Ubisoft,0.34,0.13,0.11,0.01,0.59,Medio-Bajo
